Distributors,20th Century Fox Opening weekend(North America),20th Century Studios Opening weekend(North America),IMAX Entertainment Opening weekend(North America),Lionsgate Films Opening weekend(North America),New Line Cinema Opening weekend(North America),Paramount Pictures Opening weekend(North America),Sony Pictures Opening weekend(North America),Universal Pictures Opening weekend(North America),Walt Disney Studios Motion Pictures Opening weekend(North America)
,54471475,7037017,1500000,13834527,17073856,98618668,114844116,5070136,207438708
,40310419,,,4271451,32528016,128122480,88156227,62128420,174144585
,85558731,,,,16061271,65723338,45388836,55414050,85737841
,12804793,,,,,65058524,151116516,,95023721
,56061504,,,,,,22115334,,94320883
,102750665,,,,,,62004688,,56215889
,58051684,,,,,,91608337,,191271109
,85058003,,,,,,117027503,,57225526
,55101604,,,,,,80255756,,179139142
,53113752,,,,,,35363376,,85058311
,90823660,,,,,,92579212,,146510104
,25685737,,,,,,90033210,,122744989
,132434600,,,,,,260138569,,202003951
,65769562,,,,,,,,257698183
,88411916,,,,,,,,75812205
,125507153,,,,,,,,153433423
,32828348,,,,,,,,357115007
,,,,,,,,,80366312
,,,,,,,,,75388688
,,,,,,,,,85021497
Total:,1164743606,7037017,1500000,18105978,65663143,357523010,1250631680,122612606,2781670074
